trigger_time,session,direction,entry_time,entry_type,entry_price,stop,target,htf_mid,r_distance,exit_time,exit_reason,n_partials,realized_r,pnl_usd,lot_size,balance_after,month
2022-05-16 09:00:00+00:00,london,bear,2022-05-16 10:00:00+00:00,OB,1.04258,1.043627557281394,1.04064,1.042025,0.0010475572813939404,2022-05-16 10:55:00+00:00,stop,0,-1.048,-1048.0,9.546,98952.0,2022-05
2022-05-17 13:00:00+00:00,ny_am_kz,bull,2022-05-17 14:05:00+00:00,OB,1.05325,1.052454015876508,1.05494,1.0538349999999999,0.0007959841234919107,2022-05-17 14:45:00+00:00,stop,1,0.437,432.42,12.4314,99384.42,2022-05
2022-05-23 03:00:00+00:00,asian,bull,2022-05-23 04:45:00+00:00,OB,1.05899,1.0584271543528427,1.05946,1.0590350000000002,0.0005628456471573617,2022-05-23 05:40:00+00:00,all_targets,3,0.746,741.41,17.6575,100125.83,2022-05
2022-05-24 10:00:00+00:00,london,bear,2022-05-24 11:35:00+00:00,OB,1.07199,1.0720331705514932,1.07042,1.07117,4.317055149316573e-05,2022-05-24 11:45:00+00:00,stop,2,0.142,142.18,231.9309,100268.01,2022-05
2022-05-30 06:00:00+00:00,london_kz,bear,2022-05-30 07:00:00+00:00,OB,1.07572,1.0770243342946666,1.0751,1.07558,0.001304334294666587,2022-05-30 07:05:00+00:00,all_targets,3,0.437,438.17,7.6873,100706.18,2022-05
2022-05-31 05:00:00+00:00,asian,bear,2022-05-31 06:10:00+00:00,OB,1.0751,1.075537017032196,1.07436,1.07481,0.00043701703219611865,2022-05-31 06:15:00+00:00,all_targets,3,1.232,1240.7,23.044,101946.88,2022-05
2022-06-01 19:00:00+00:00,ny_pm,bear,2022-06-01 20:00:00+00:00,OB,1.06526,1.0660882849688915,1.06448,1.06519,0.000828284968891424,2022-06-01 21:00:00+00:00,all_targets,3,0.881,898.15,12.3082,102845.03,2022-06
2022-06-10 07:00:00+00:00,london_kz,bear,2022-06-10 08:00:00+00:00,OB,1.06287,1.0642054904719975,1.06189,1.06269,0.0013354904719975469,2022-06-10 08:15:00+00:00,all_targets,3,0.696,715.8,7.7009,103560.83,2022-06
2022-06-20 04:00:00+00:00,asian,bear,2022-06-20 05:00:00+00:00,OB,1.0525,1.053073185239791,1.05182,1.0523449999999999,0.0005731852397909964,2022-06-20 05:50:00+00:00,stop,0,-1.087,-1125.71,18.0676,102435.12,2022-06
2022-06-21 12:00:00+00:00,ny_am_kz,bear,2022-06-21 13:00:00+00:00,OB,1.05538,1.0563438631263564,1.05442,1.05521,0.0009638631263564346,2022-06-21 14:45:00+00:00,stop,0,-1.052,-1077.62,10.6276,101357.5,2022-06
2022-06-23 10:00:00+00:00,london,bear,2022-06-23 11:45:00+00:00,OB,1.05149,1.052261436767212,1.04914,1.050505,0.0007714367672120304,2022-06-23 12:15:00+00:00,all_targets,3,1.644,1666.32,13.1388,103023.82,2022-06
2022-06-28 01:00:00+00:00,asian_kz,bear,2022-06-28 02:05:00+00:00,OB,1.05785,1.0586701556486402,1.05703,1.05778,0.0008201556486402417,2022-06-28 06:00:00+00:00,all_targets,3,0.939,967.39,12.5615,103991.21,2022-06
2022-07-05 15:00:00+00:00,london_close,bull,2022-07-05 16:05:00+00:00,OB,1.02501,1.0235685890836683,1.02666,1.025235,0.0014414109163316535,2022-07-05 16:15:00+00:00,stop,0,-1.035,-1076.31,7.2145,102914.9,2022-07
2022-07-06 03:00:00+00:00,asian,bear,2022-07-06 04:00:00+00:00,OB,1.02648,1.027021643149303,1.02594,1.026455,0.0005416431493030505,2022-07-06 04:15:00+00:00,all_targets,3,0.905,931.38,19.0005,103846.28,2022-07
2022-07-06 20:00:00+00:00,off_hours,bear,2022-07-06 22:00:00+00:00,OB,1.01858,1.0188922001632037,1.01768,1.0182449999999998,0.0003122001632036575,2022-07-06 22:25:00+00:00,stop,2,1.14,1183.85,33.2627,105030.13,2022-07
2022-07-07 10:00:00+00:00,london,bear,2022-07-07 11:00:00+00:00,OB,1.01941,1.0218152929776283,1.01744,1.01927,0.0024052929776283705,2022-07-07 12:55:00+00:00,all_targets,3,0.798,838.14,4.3666,105868.27,2022-07
2022-07-07 19:00:00+00:00,ny_pm,bull,2022-07-07 20:05:00+00:00,OB,1.0161,1.0153219602184533,1.01681,1.016195,0.0007780397815466689,2022-07-07 23:55:00+00:00,all_targets,3,0.848,897.76,13.6071,106766.03,2022-07
