composite_rank,setup,tf,entry,style,sessions,strong,pd,n,win_rate,avg_r,std_r,total_r,pf,max_dd,calmar,sharpe,adj_sharpe,composite_score
1,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,3004,75.0,0.3303,0.9377,992.1,2.311,7.07,140.325,0.352,19.306,3.4000000000000004
2,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,2299,73.4,0.3812,1.0372,876.36,2.294,8.87,98.8,0.368,17.622,4.2
3,H4-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,1697,72.2,0.3502,1.1802,594.35,2.124,7.87,75.521,0.297,12.224,7.200000000000001
4,H4-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,5056,72.6,0.2849,1.1281,1440.48,1.963,32.32,44.569,0.253,17.958,7.6
5,H4-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,4072,71.1,0.3181,1.2319,1295.48,1.95,33.64,38.51,0.258,16.478,8.0
6,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,3009,70.1,0.3104,1.124,934.14,1.935,13.24,70.554,0.276,15.148,8.0
7,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,240,84.2,0.566,0.7608,135.84,4.398,4.07,33.376,0.744,11.525,9.0
8,H4-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,3610,76.8,0.3845,1.4365,1387.99,2.545,59.13,23.474,0.268,16.082,9.2
9,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,3873,69.6,0.2237,1.002,866.53,1.77,12.21,70.969,0.223,13.894,9.4
10,H4-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,2324,70.9,0.2334,1.0196,542.4,1.886,7.55,71.841,0.229,11.035,10.0
11,H4-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,2745,77.0,0.4594,1.6206,1261.18,2.586,58.87,21.423,0.283,14.852,10.4
12,H4-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,191,84.3,0.5591,0.7537,106.78,4.379,3.05,35.01,0.742,10.252,10.8
13,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,667,78.9,0.2575,0.6168,171.78,2.86,3.79,45.325,0.417,10.782,11.8
14,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,197,79.2,0.523,0.8682,103.03,3.411,4.59,22.447,0.602,8.455,14.600000000000001
