side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
short,2022-05-16 12:45:00+00:00,1808.016,1811.5516467422444,1797.409059773267,2022-05-16 14:00:00+00:00,1811.5516467422444,stop,-1.0,3.775536039473605,1809.718,1652682600000000000,-1,0.12410086017110243,-1.1241008601711024
short,2022-05-16 15:00:00+00:00,1812.104,1815.304478203015,1802.5025653909554,2022-05-16 16:45:00+00:00,1815.304478203015,stop,-1.0,3.1547915974792304,1812.998,1652672700000000000,-1,0.12739958031579995,-1.1273995803158
short,2023-10-03 09:45:00+00:00,1826.365,1828.0211372881954,1821.3965881354138,2023-10-03 12:15:00+00:00,1828.0211372881954,stop,-1.0,2.0713618648856063,1826.368,1656040500000000000,-1,0.21348960364846598,-1.213489603648466
short,2023-10-03 12:45:00+00:00,1824.745,1827.380984931376,1816.8370452058718,2023-10-03 13:30:00+00:00,1827.380984931376,stop,-1.0,2.5999561397389526,1824.758,1655308800000000000,-1,0.14415780699800296,-1.144157806998003
short,2023-10-03 15:00:00+00:00,1825.495,1829.754762997995,1812.7157110060148,2023-10-04 08:00:00+00:00,1822.745,timeout,0.6455758222451234,1.7106181364315316,1825.558,1656428400000000000,-1,0.05868871111319304,0.5868871111319304
short,2023-10-04 14:30:00+00:00,1819.288,1822.2380592743473,1810.4378221769582,2023-10-04 15:00:00+00:00,1822.2380592743473,stop,-1.0,3.052585329331551,1819.555,1671699600000000000,-1,0.13648175477954205,-1.136481754779542
short,2023-10-04 15:45:00+00:00,1823.745,1826.2071512356279,1816.358546293116,2023-10-05 01:00:00+00:00,1826.2071512356279,stop,-1.0,1.5037534073673646,1824.018,1677183300000000000,-1,0.13207461250260252,-1.1320746125026024
short,2023-10-05 05:45:00+00:00,1826.205,1827.8189256281723,1821.3632231154827,2023-10-05 07:00:00+00:00,1821.3632231154827,target,3.0,1.3090547611672543,1826.235,1677225600000000000,-1,0.15490180937463455,2.8450981906253654
short,2023-10-05 07:30:00+00:00,1821.438,1822.7151840632202,1817.6064478103397,2023-10-05 09:30:00+00:00,1822.7151840632202,stop,-1.0,1.3855164702506608,1821.685,1696310100000000000,-1,0.24998418999024077,-1.2499841899902409
short,2023-10-05 09:45:00+00:00,1821.905,1823.692465302427,1816.5426040927186,2023-10-05 10:30:00+00:00,1823.692465302427,stop,-1.0,1.359494739348945,1821.958,1656484200000000000,-1,0.17789141782818696,-1.177891417828187
short,2023-10-05 12:00:00+00:00,1822.585,1824.228454964742,1817.654635105774,2023-10-05 12:30:00+00:00,1817.654635105774,target,3.0,2.0549504939009746,1822.608,1655163900000000000,-1,0.15211855838060648,2.8478814416193936
short,2023-10-05 12:45:00+00:00,1815.605,1817.3863790661583,1810.2608628015253,2023-10-05 13:15:00+00:00,1817.3863790661583,stop,-1.0,2.304351397631356,1815.778,1652947200000000000,-1,0.20501956984888195,-1.205019569848882
short,2023-10-05 14:15:00+00:00,1819.695,1821.8174559319118,1813.3276322042643,2023-10-05 23:00:00+00:00,1821.8174559319118,stop,-1.0,1.2935698879765398,1819.715,1671632100000000000,-1,0.1482614972907211,-1.148261497290721
short,2023-10-05 23:30:00+00:00,1822.085,1823.3508826189816,1818.2873521430554,2023-10-06 02:15:00+00:00,1823.3508826189816,stop,-1.0,1.2582705822439535,1822.105,1672386300000000000,-1,0.24719000357548818,-1.2471900035754881
short,2023-10-06 02:30:00+00:00,1823.458,1824.293303947911,1820.9520881562673,2023-10-06 03:15:00+00:00,1824.293303947911,stop,-1.0,1.1081179222061088,1823.578,1652395500000000000,-1,0.36562247415940224,-1.3656224741594023
short,2023-10-06 04:15:00+00:00,1824.195,1824.7591432161817,1822.5025703514548,2023-10-06 05:00:00+00:00,1822.5025703514548,target,3.0,0.9063977720497275,1824.205,1696374000000000000,-1,0.4431498825636346,2.5568501174363654
short,2023-10-06 06:30:00+00:00,1819.115,1820.0843772429155,1816.2068682712536,2023-10-06 07:30:00+00:00,1820.0843772429155,stop,-1.0,1.1107623329609975,1819.153,1656535500000000000,-1,0.31519010672163333,-1.3151901067216334
long,2023-10-19 17:45:00+00:00,1972.615,1967.1833599760027,1988.9099200719918,2023-10-20 10:45:00+00:00,1983.2565,timeout,1.959168861151561,2.067632044185934,1972.505,1679879700000000000,1,0.04602661422617982,1.9131422469253812
long,2023-10-20 13:00:00+00:00,1978.505,1975.6564246810094,1987.0507259569722,2023-10-20 13:45:00+00:00,1987.0507259569722,target,3.0,3.182007988122365,1978.415,1680609600000000000,1,0.08776317000758807,2.9122368299924117
