side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
long,2022-09-15 13:00:00+00:00,1686.186,1684.1314651411499,1692.34960457655,2022-09-15 13:15:00+00:00,1684.1314651411499,stop,-1.0,2.845179325012044,1685.548,1663218000000000000,1,0.1909234903272243,-1.1909234903272243
long,2022-09-15 13:30:00+00:00,1683.888,1679.423642902318,1697.2810712930454,2022-09-15 14:45:00+00:00,1679.423642902318,stop,-1.0,4.452204789854515,1681.968,1663232400000000000,1,0.10586300090961205,-1.105863000909612
long,2022-09-15 19:45:00+00:00,1663.788,1660.4741494143907,1673.729551756828,2022-09-16 06:15:00+00:00,1660.4741494143907,stop,-1.0,1.6181822312072636,1661.354,1663261200000000000,1,0.09985637644538493,-1.099856376445385
short,2022-10-03 13:15:00+00:00,1668.608,1675.4889973374156,1647.9650079877529,2022-10-03 14:00:00+00:00,1675.4889973374156,stop,-1.0,3.731866314750244,1669.385,1664758800000000000,-1,0.06344913307312575,-1.0634491330731257
short,2022-10-03 23:15:00+00:00,1701.505,1703.1822047815947,1696.4733856552164,2022-10-04 01:15:00+00:00,1696.4733856552164,target,3.0,2.062004466911158,1702.465,1664830800000000000,-1,0.14905752877851652,2.8509424712214835
long,2022-10-28 06:15:00+00:00,1658.937,1657.0553442861708,1664.5819671414872,2022-10-28 06:45:00+00:00,1657.0553442861708,stop,-1.0,1.8573812183184017,1658.857,1666846800000000000,1,0.18221668204019817,-1.1822166820401983
long,2022-10-28 15:15:00+00:00,1640.697,1636.7791082070548,1652.450675378835,2022-10-31 08:15:00+00:00,1638.3175,timeout,-0.6073419394288896,1.7521632992417921,1637.898,1666962000000000000,1,0.0638098276348966,-0.6711517670637862
long,2022-10-31 11:15:00+00:00,1640.978,1639.5516766716528,1645.256969985042,2022-10-31 11:45:00+00:00,1639.5516766716528,stop,-1.0,1.9540942600455866,1640.588,1666976400000000000,1,0.24377692357116135,-1.2437769235711613
short,2022-12-09 10:00:00+00:00,1793.698,1795.293740220889,1788.9107793373332,2022-12-09 11:00:00+00:00,1795.293740220889,stop,-1.0,1.7867200861453747,1794.728,1670504400000000000,-1,0.21265115703997933,-1.2126511570399794
short,2022-12-11 23:00:00+00:00,1796.017,1797.8915364043066,1790.3933907870803,2022-12-12 01:45:00+00:00,1790.3933907870803,target,3.0,1.765093102301492,1797.328,1670619600000000000,-1,0.13336630829129115,2.8666336917087087
short,2022-12-12 09:15:00+00:00,1790.278,1792.5039360707895,1783.6001917876317,2022-12-12 10:00:00+00:00,1792.5039360707895,stop,-1.0,1.643545004281002,1791.998,1670518800000000000,-1,0.14923036405813897,-1.149230364058139
short,2023-01-16 15:00:00+00:00,1915.875,1917.5488066524204,1910.853580042739,2023-01-16 23:30:00+00:00,1917.5488066524204,stop,-1.0,1.507026539755063,1916.955,1673874000000000000,-1,0.19437808215022298,-1.194378082150223
long,2023-01-26 15:15:00+00:00,1933.288,1931.3707310183154,1939.039806945054,2023-01-26 15:30:00+00:00,1931.3707310183154,stop,-1.0,3.6165230385480336,1933.045,1674723600000000000,1,0.2247082470133386,-1.2247082470133386
long,2023-01-26 16:15:00+00:00,1925.525,1917.3502614305003,1950.0492157084996,2023-01-27 09:15:00+00:00,1926.743,timeout,0.1489955904576862,1.8409563973776732,1922.605,1674637200000000000,1,0.03058201774583434,0.11841357271185186
long,2023-01-27 15:45:00+00:00,1923.975,1915.4396723264927,1949.5809830205217,2023-01-30 08:45:00+00:00,1922.775,timeout,-0.1405921419659716,2.2481377735585233,1916.525,1674824400000000000,1,0.029290029576248527,-0.16988217154222013
short,2023-03-13 02:45:00+00:00,1886.748,1890.0947498159578,1876.7077505521268,2023-03-13 06:45:00+00:00,1876.7077505521268,target,3.0,3.189854350826661,1888.775,1678669200000000000,-1,0.074699339283733,2.925300660716267
short,2023-03-19 22:00:00+00:00,1985.848,1992.1226544122578,1967.0240367632264,2023-03-20 06:00:00+00:00,1992.1226544122578,stop,-1.0,3.597230455937455,1990.548,1679259600000000000,-1,0.06850760130424333,-1.0685076013042434
short,2023-03-20 19:30:00+00:00,1981.925,1985.3761978743303,1971.571406377009,2023-03-21 07:45:00+00:00,1971.571406377009,target,3.0,2.918359880184911,1984.225,1679331600000000000,-1,0.07243861670739779,2.9275613832926024
