side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
long,2022-09-15 13:00:00+00:00,1686.186,1684.1314651411499,1692.34960457655,2022-09-15 13:15:00+00:00,1684.1314651411499,stop,-1.0,2.845179325012044,1686.114,1663235100000000000,1,0.1909234903272243,-1.1909234903272243
long,2022-09-15 13:30:00+00:00,1683.888,1679.423642902318,1697.2810712930454,2022-09-15 14:45:00+00:00,1679.423642902318,stop,-1.0,4.452204789854515,1681.968,1663247700000000000,1,0.10586300090961205,-1.105863000909612
long,2022-09-15 23:30:00+00:00,1661.908,1660.5810057442693,1665.8889827671917,2022-09-16 00:30:00+00:00,1665.8889827671917,target,3.0,1.967714853006215,1661.354,1663272900000000000,1,0.1883956911798075,2.8116043088201925
short,2022-10-03 13:15:00+00:00,1668.608,1675.4889973374156,1647.9650079877529,2022-10-03 14:00:00+00:00,1675.4889973374156,stop,-1.0,3.731866314750244,1669.385,1664764200000000000,-1,0.06344913307312575,-1.0634491330731257
short,2022-10-03 14:30:00+00:00,1686.705,1692.4469041946827,1669.4792874159516,2022-10-03 15:00:00+00:00,1692.4469041946827,stop,-1.0,4.526867498323123,1689.618,1663224300000000000,-1,0.08295912971819847,-1.0829591297181984
short,2022-10-03 15:45:00+00:00,1690.265,1693.7263969636097,1679.8808091091714,2022-10-03 17:30:00+00:00,1693.7263969636097,stop,-1.0,3.8484340358867524,1691.248,1663238700000000000,-1,0.1278159386067579,-1.1278159386067579
short,2022-10-03 17:45:00+00:00,1694.935,1698.1526280528542,1685.2821158414372,2022-10-03 18:30:00+00:00,1698.1526280528542,stop,-1.0,3.4180262780862583,1696.428,1663209900000000000,-1,0.13081105304603036,-1.1308110530460302
short,2022-10-03 23:15:00+00:00,1701.505,1703.1822047815947,1696.4733856552164,2022-10-04 01:15:00+00:00,1696.4733856552164,target,3.0,2.062004466911158,1702.264,1662504300000000000,-1,0.14905752877851652,2.8509424712214835
short,2022-10-04 04:30:00+00:00,1700.004,1701.898757413165,1694.3197277605047,2022-10-04 05:45:00+00:00,1701.898757413165,stop,-1.0,2.190790218896091,1700.142,1664825400000000000,-1,0.18975490395059083,-1.1897549039505908
short,2022-10-04 06:15:00+00:00,1702.324,1704.1663513474389,1696.7969459576836,2022-10-04 06:30:00+00:00,1704.1663513474389,stop,-1.0,2.194373218263367,1702.465,1664841600000000000,-1,0.1952497613515688,-1.195249761351569
short,2022-10-04 07:15:00+00:00,1708.397,1711.1837886254216,1700.036634123735,2022-10-04 10:15:00+00:00,1711.1837886254216,stop,-1.0,2.6972061146369892,1708.434,1662013800000000000,-1,0.13810172117866273,-1.1381017211786628
short,2022-10-04 10:30:00+00:00,1709.704,1712.1540859890774,1702.3537420327675,2022-10-04 11:00:00+00:00,1702.3537420327675,target,3.0,2.8937233359538777,1710.054,1658184300000000000,-1,0.10203723506624006,2.89796276493376
short,2022-10-04 11:15:00+00:00,1700.987,1704.17595150073,1691.4201454978104,2022-10-04 11:30:00+00:00,1704.17595150073,stop,-1.0,2.9918736927357297,1701.288,1664860500000000000,-1,0.1253056638037066,-1.1253056638037067
short,2022-10-04 13:00:00+00:00,1712.467,1714.7913658887994,1705.4939023336021,2022-10-04 14:00:00+00:00,1714.7913658887994,stop,-1.0,3.6460861576776527,1713.294,1658290500000000000,-1,0.18598806236448198,-1.185988062364482
short,2022-10-04 14:45:00+00:00,1720.604,1723.8269139163722,1710.9352582508836,2022-10-04 15:00:00+00:00,1723.8269139163722,stop,-1.0,4.003828788771112,1720.698,1658132100000000000,-1,0.13968459944015893,-1.139684599440159
short,2022-10-04 15:30:00+00:00,1726.194,1729.990528161177,1714.8044155164687,2022-10-05 08:00:00+00:00,1714.8044155164687,target,3.0,2.6932314044679044,1726.328,1657665000000000000,-1,0.0658496366644858,2.9341503633355144
long,2022-10-28 06:15:00+00:00,1658.937,1657.0553442861708,1664.5819671414872,2022-10-28 06:45:00+00:00,1657.0553442861708,stop,-1.0,1.8573812183184017,1658.857,1666856700000000000,1,0.18221668204019817,-1.1822166820401983
long,2022-10-28 07:15:00+00:00,1652.797,1650.6844432256696,1659.1346703229913,2022-10-28 08:00:00+00:00,1650.6844432256696,stop,-1.0,2.1652536846497723,1652.785,1664415000000000000,1,0.1695872454580738,-1.1695872454580738
long,2022-10-28 08:30:00+00:00,1650.678,1647.134594582593,1661.3082162522212,2022-10-28 09:15:00+00:00,1647.134594582593,stop,-1.0,2.3222434427148215,1650.677,1666658700000000000,1,0.1033221234965691,-1.103322123496569
long,2022-10-28 10:00:00+00:00,1649.098,1646.8404548275898,1655.8706355172303,2022-10-28 11:00:00+00:00,1646.8404548275898,stop,-1.0,2.2231244506807033,1648.538,1665990900000000000,1,0.1599774068522716,-1.1599774068522717
long,2022-10-28 12:30:00+00:00,1646.117,1638.8807481858112,1667.8257554425663,2022-10-28 15:15:00+00:00,1638.8807481858112,stop,-1.0,3.729639309817115,1645.647,1666109700000000000,1,0.060318791647770605,-1.0603187916477705
long,2022-10-28 17:30:00+00:00,1641.388,1640.0021057207484,1645.5456828377544,2022-10-28 20:45:00+00:00,1645.5456828377544,target,3.0,1.8251273859471124,1641.265,1665766800000000000,1,0.18038894000992867,2.8196110599900712
long,2022-10-30 22:00:00+00:00,1643.198,1640.719978799629,1650.6320636011135,2022-10-31 01:00:00+00:00,1640.719978799629,stop,-1.0,1.4597508948262572,1642.868,1663938900000000000,1,0.13034091261726868,-1.1303409126172688
long,2022-10-31 01:15:00+00:00,1642.338,1640.3574265364412,1648.2797203906764,2022-10-31 07:15:00+00:00,1640.3574265364412,stop,-1.0,1.5727173524621973,1641.544,1664440200000000000,1,0.16592965303725588,-1.1659296530372558
long,2022-10-31 10:15:00+00:00,1637.755,1636.2808508637027,1642.1774474088925,2022-10-31 12:30:00+00:00,1636.2808508637027,stop,-1.0,2.232705571909678,1637.567,1666166400000000000,1,0.24531797339296657,-1.2453179733929667
short,2022-11-10 13:00:00+00:00,1709.818,1711.1741330672244,1705.7496007983268,2022-11-10 13:15:00+00:00,1711.1741330672244,stop,-1.0,2.0829594937900406,1709.957,1668054600000000000,-1,0.2611454460102058,-1.2611454460102058
short,2022-11-10 14:15:00+00:00,1739.948,1743.3661902210183,1729.6934293369454,2022-11-10 14:45:00+00:00,1743.3661902210183,stop,-1.0,4.3792031862602645,1740.138,1658952000000000000,-1,0.13719545402400626,-1.1371954540240063
short,2022-11-10 15:00:00+00:00,1746.048,1750.028063744744,1734.107808765768,2022-11-10 15:15:00+00:00,1750.028063744744,stop,-1.0,4.629721114683607,1746.908,1657170000000000000,-1,0.12097445835384384,-1.120974458353844
