entry_time,exit_time,direction,entry_price,stop,target,exit_price,realized_r,natural_rr,exit_reason,hold_bars,ref_high,ref_low,atr_at_exit,cost_r,net_r
2022-07-04 06:25:00+00:00,2022-07-04 06:30:00+00:00,bear,1.21077,1.21093,1.20842,1.21093,-1.0,14.67,stop,1,1.21085,1.20842,0.0005591644748261839,0.6747388983825078,-1.6747388983825078
2022-07-04 09:35:00+00:00,2022-07-04 10:50:00+00:00,bear,1.21262,1.21376,1.20908,1.21376,-1.0,3.1,stop,15,1.21266,1.20908,0.0006552092120259852,0.09891268473798885,-1.0989126847379889
2022-07-05 07:00:00+00:00,2022-07-05 07:05:00+00:00,bear,1.2119,1.21257,1.20978,1.20978,3.1547,3.15,target,1,1.21224,1.20978,0.0007686738231822992,0.11940298507463606,3.035297014925364
2022-07-06 07:20:00+00:00,2022-07-06 07:25:00+00:00,bear,1.1971,1.19771,1.19265,1.19771,-1.0,7.28,stop,1,1.19713,1.19265,0.0010493106965600806,0.217156614472138,-1.217156614472138
2022-07-07 06:40:00+00:00,2022-07-07 08:05:00+00:00,bear,1.19521,1.19648,1.1915,1.19648,-1.0,2.93,stop,17,1.19532,1.1915,0.001212429240416256,0.11072556064631955,-1.1107255606463196
2022-07-07 09:35:00+00:00,2022-07-07 09:40:00+00:00,bear,1.19931,1.19952,1.19331,1.19952,-1.0,28.1,stop,1,1.1994,1.19331,0.0011087659399917039,0.6449442714271446,-1.6449442714271445
2022-07-08 12:30:00+00:00,2022-07-08 14:35:00+00:00,bear,1.20009,1.2031,1.19191,1.2031,-1.0,2.72,stop,25,1.20142,1.19191,0.0014553522642165979,0.05075335987070833,-1.0507533598707084
2022-07-08 14:45:00+00:00,2022-07-08 15:05:00+00:00,bear,1.20127,1.20384,1.19279,1.20384,-1.0,3.3,stop,4,1.20298,1.19279,0.0014473686608432442,0.05928732803197063,-1.0592873280319706
2022-07-12 11:25:00+00:00,2022-07-12 13:35:00+00:00,bear,1.18701,1.18827,1.18072,1.18827,-1.0,5.01,stop,26,1.18731,1.18072,0.0008993159480966341,0.09917920428954592,-1.0991792042895459
2022-07-12 13:45:00+00:00,2022-07-12 15:10:00+00:00,bear,1.18713,1.18941,1.1812,1.18941,-1.0,2.61,stop,17,1.18817,1.1812,0.0009646104577186624,0.05624145740610955,-1.0562414574061096
2022-07-13 06:25:00+00:00,2022-07-13 12:05:00+00:00,bear,1.1917,1.19374,1.18697,1.19374,-1.0,2.32,stop,68,1.1919,1.18697,0.0007912609082597454,0.058609335986757265,-1.0586093359867572
2022-07-13 12:05:00+00:00,2022-07-13 12:25:00+00:00,bear,1.19355,1.19432,1.1876,1.19432,-1.0,7.74,stop,4,1.19366,1.1876,0.0009736475114745438,0.16711996827758138,-1.1671199682775815
2022-07-13 14:55:00+00:00,2022-07-14 07:05:00+00:00,bear,1.19463,1.19688,1.18271,1.18271,5.3052,5.31,target,194,1.19467,1.18271,0.0008896636228794264,0.03555555555555772,5.269644444444443
2022-07-14 09:55:00+00:00,2022-07-14 11:00:00+00:00,bear,1.18694,1.18771,1.18234,1.18234,5.9587,5.96,target,13,1.18748,1.18234,0.0010402701726105197,0.10389610389611235,5.854803896103888
2022-07-15 07:25:00+00:00,2022-07-15 10:45:00+00:00,bear,1.18304,1.18521,1.17772,1.18521,-1.0,2.45,stop,40,1.18385,1.17772,0.0007665773077746496,0.0545294310547153,-1.0545294310547153
2022-07-15 10:55:00+00:00,2022-07-15 13:00:00+00:00,bear,1.18402,1.18537,1.18042,1.18537,-1.0,2.67,stop,25,1.18449,1.18042,0.0012066538142991533,0.10395014127034193,-1.1039501412703419
2022-07-18 06:40:00+00:00,2022-07-18 06:45:00+00:00,bear,1.1904,1.19077,1.18808,1.19077,-1.0,6.34,stop,1,1.19064,1.18808,0.000653879803949945,0.30457835188496024,-1.3045783518849603
2022-07-18 12:00:00+00:00,2022-07-18 13:30:00+00:00,bear,1.19588,1.19924,1.18779,1.19924,-1.0,2.41,stop,18,1.19654,1.18779,0.0008142380562058653,0.035926161550682206,-1.0359261615506823
2022-07-18 13:30:00+00:00,2022-07-18 13:40:00+00:00,bear,1.19904,1.1997,1.19412,1.1997,-1.0,7.44,stop,2,1.19916,1.19412,0.0008772256709122056,0.18766861143277616,-1.1876686114327761
2022-07-19 09:40:00+00:00,2022-07-19 10:05:00+00:00,bear,1.20238,1.20286,1.19432,1.20286,-1.0,16.9,stop,5,1.2024,1.19432,0.0009280694523892968,0.26334056795719873,-1.2633405679571987
2022-07-19 14:50:00+00:00,2022-07-19 15:00:00+00:00,bear,1.20313,1.20412,1.19995,1.20412,-1.0,3.22,stop,2,1.20398,1.19995,0.00110324982644186,0.13652776901220876,-1.1365277690122086
2022-07-21 06:00:00+00:00,2022-07-21 06:40:00+00:00,bear,1.19911,1.2003,1.19627,1.2003,-1.0,2.4,stop,8,1.20002,1.19627,0.0006091428640899374,0.09282112874327278,-1.0928211287432728
2022-07-22 13:30:00+00:00,2022-07-22 13:40:00+00:00,bear,1.19699,1.19836,1.19264,1.19836,-1.0,3.17,stop,2,1.19759,1.19264,0.0009773614760930566,0.0940642874486453,-1.0940642874486453
2022-07-25 07:50:00+00:00,2022-07-25 08:00:00+00:00,bear,1.19945,1.19997,1.19612,1.19997,-1.0,6.47,stop,2,1.19956,1.19612,0.000947430669039532,0.2449452566383808,-1.2449452566383807
2022-07-25 10:30:00+00:00,2022-07-25 11:05:00+00:00,bear,1.20275,1.20582,1.19623,1.20582,-1.0,2.12,stop,7,1.20293,1.19623,0.0008191197419256172,0.03939934433103732,-1.0393993443310374
2022-07-25 13:25:00+00:00,2022-07-26 02:45:00+00:00,bear,1.20811,1.20872,1.20223,1.20872,-1.0,9.69,stop,160,1.20824,1.20223,0.00044039196543412614,0.16724524306837116,-1.167245243068371
2022-07-26 14:40:00+00:00,2022-07-26 14:45:00+00:00,bear,1.20332,1.20396,1.19635,1.20396,-1.0,10.9,stop,1,1.20345,1.19635,0.0010967902916510595,0.21068674153524763,-1.2106867415352476
2022-07-27 09:15:00+00:00,2022-07-27 09:35:00+00:00,bear,1.20737,1.20762,1.20357,1.20762,-1.0,15.02,stop,4,1.20741,1.20357,0.0007515090897560927,0.47030181795147924,-1.4703018179514793
2022-07-29 08:30:00+00:00,2022-07-29 08:35:00+00:00,bull,1.21665,1.21591,1.22034,1.21591,-1.0,4.96,stop,1,1.22034,1.21625,0.001051736228451823,0.1791713667872943,-1.1791713667872943
2022-07-29 10:10:00+00:00,2022-07-29 12:15:00+00:00,bull,1.21604,1.21362,1.22454,1.21362,-1.0,3.51,stop,25,1.22454,1.21547,0.0009381505799341647,0.052441127684588265,-1.0524411276845882
2022-08-02 14:10:00+00:00,2022-08-02 15:35:00+00:00,bull,1.21941,1.21785,1.22273,1.22273,2.1255,2.13,target,17,1.22273,1.21907,0.0011972061937951142,0.05128205128205109,2.074217948717949
2022-08-04 06:00:00+00:00,2022-08-04 06:10:00+00:00,bull,1.21472,1.21432,1.21676,1.21432,-1.0,5.16,stop,2,1.21676,1.21439,0.0004953379283531031,0.26191724104416675,-1.2619172410441668
2022-08-05 06:10:00+00:00,2022-08-05 06:55:00+00:00,bull,1.21367,1.21293,1.21631,1.21631,3.5813,3.58,target,9,1.21631,1.21343,0.0005578902674121117,0.10810810810811354,3.4731918918918865
2022-08-05 10:05:00+00:00,2022-08-05 12:30:00+00:00,bull,1.21355,1.21241,1.21687,1.21241,-1.0,2.91,stop,29,1.21687,1.21352,0.0011622472321929228,0.12115119439443509,-1.121151194394435
2022-08-09 07:15:00+00:00,2022-08-09 07:20:00+00:00,bull,1.2073,1.20669,1.20931,1.20669,-1.0,3.31,stop,1,1.20931,1.20683,0.000594898254527786,0.179909692994081,-1.179909692994081
2022-08-09 14:50:00+00:00,2022-08-09 15:00:00+00:00,bull,1.20948,1.20862,1.21299,1.20862,-1.0,4.07,stop,2,1.21299,1.20945,0.0009021246230017933,0.14547236180241582,-1.1454723618024159
2022-08-12 08:00:00+00:00,2022-08-12 09:00:00+00:00,bull,1.21774,1.21666,1.22033,1.21666,-1.0,2.41,stop,12,1.22033,1.21767,0.0007207238778317135,0.10744092026998973,-1.1074409202699897
2022-08-12 14:05:00+00:00,2022-08-15 07:10:00+00:00,bull,1.21089,1.20982,1.21786,1.20982,-1.0,6.51,stop,200,1.21786,1.21081,0.0005130654263629026,0.09874137506367539,-1.0987413750636754
2022-08-15 10:00:00+00:00,2022-08-16 00:00:00+00:00,bull,1.207,1.20489,1.21208,1.20489,-1.0,2.41,stop,168,1.21208,1.20685,0.0002778868192718799,0.044499687660469904,-1.04449968766047
2022-08-17 07:10:00+00:00,2022-08-17 07:15:00+00:00,bull,1.21005,1.20942,1.21221,1.20942,-1.0,3.45,stop,1,1.21221,1.20976,0.0008255225757119244,0.19250179172312876,-1.1925017917231289
2022-08-17 11:55:00+00:00,2022-08-17 12:30:00+00:00,bull,1.20789,1.20602,1.2143,1.20602,-1.0,3.42,stop,7,1.2143,1.20772,0.0009354933876021215,0.06779394084498319,-1.0677939408449832
2022-08-18 13:15:00+00:00,2022-08-18 13:20:00+00:00,bull,1.20351,1.20337,1.20793,1.20337,-1.0,31.85,stop,1,1.20793,1.20349,0.0008821337109000507,0.8864763253212632,-1.8864763253212633
