strategy,config,period,n,win_rate,gross_r,net_r,pf_net,max_dd_net,avg_cost_r
po3-gbp,H4-M15-regD1,train,85,44.7,14.55,11.06,1.31,9.13,0.041
po3-gbp,H4-M15-regD1,test,74,31.1,-7.33,-11.29,0.73,18.25,0.054
po3-gbp,H4-M15-regD1+fvg,train,78,43.6,7.46,3.57,1.11,8.94,0.05
po3-gbp,H4-M15-regD1+fvg,test,67,32.8,-9.52,-13.09,0.65,18.34,0.053
po3-gbp,H4-M5-regD1,train,106,45.3,13.27,7.56,1.15,10.07,0.054
po3-gbp,H4-M5-regD1,test,90,33.3,-5.07,-9.71,0.82,15.97,0.052
po3-gbp,H4-M5-regD1+fvg,train,100,44.0,15.81,10.68,1.23,9.66,0.051
po3-gbp,H4-M5-regD1+fvg,test,82,35.4,-2.83,-7.03,0.85,14.6,0.051
po3-gbp,H1-M15-regD1,train,146,37.0,-3.27,-9.55,0.88,21.69,0.043
po3-gbp,H1-M15-regD1,test,107,39.3,-1.76,-6.2,0.9,19.24,0.042
po3-gbp,H1-M15-regD1+fvg,train,119,37.8,-2.03,-6.69,0.9,18.08,0.039
po3-gbp,H1-M15-regD1+fvg,test,90,37.8,-9.72,-13.36,0.74,24.25,0.04
po3-gbp,H1-M5-regD1,train,209,36.8,20.73,6.46,1.05,13.91,0.068
po3-gbp,H1-M5-regD1,test,162,31.5,-8.88,-19.97,0.82,32.94,0.068
po3-gbp,H1-M5-regD1+fvg,train,189,37.0,23.96,11.89,1.1,12.86,0.064
po3-gbp,H1-M5-regD1+fvg,test,151,31.8,-12.48,-22.48,0.78,34.1,0.066
