entry_time,exit_time,direction,entry_price,stop,target,exit_price,realized_r,exit_reason,hold_bars,atr_at_exit,cost_r,net_r
2022-06-28 07:25:00+00:00,2022-06-28 08:20:00+00:00,bear,1826.543,1828.33208,1821.17575,1828.33208,-1.0,stop,11,1.0283494318343902,0.1684762400740701,-1.16847624007407
2022-06-28 08:55:00+00:00,2022-06-29 01:55:00+00:00,bear,1826.413,1829.40623,1817.4333,1822.038,1.4616,max_hold,192,0.6859020155347477,0.08352181422743882,1.3780781857725612
2022-06-29 11:50:00+00:00,2022-06-29 12:05:00+00:00,bear,1824.113,1826.98658,1815.49227,1826.98658,-1.0,stop,3,1.549644299090977,0.1139631452594168,-1.1139631452594168
2022-06-29 13:35:00+00:00,2022-06-29 13:45:00+00:00,bear,1826.818,1828.51732,1821.72004,1821.72004,3.0,target,2,2.3045179778898053,0.14711767059765574,2.852882329402344
2022-07-07 06:55:00+00:00,2022-07-07 13:45:00+00:00,bear,1743.386,1747.72708,1730.36276,1747.72708,-1.0,stop,82,2.227120882343094,0.08324104695540312,-1.083241046955403
2022-07-12 08:05:00+00:00,2022-07-12 08:35:00+00:00,bear,1732.694,1738.14271,1716.34787,1738.14271,-1.0,stop,6,1.563215419042011,0.060227241118006536,-1.0602272411180065
2022-07-12 10:25:00+00:00,2022-07-12 11:20:00+00:00,bear,1732.434,1739.23773,1712.0228,1739.23773,-1.0,stop,11,1.6804177999449692,0.04909378972964009,-1.0490937897296402
2022-07-12 12:20:00+00:00,2022-07-13 05:20:00+00:00,bear,1733.418,1739.54762,1715.02915,1724.998,1.3737,max_hold,192,0.7538809203563124,0.04078556256342049,1.3329144374365793
2022-07-13 11:45:00+00:00,2022-07-13 12:30:00+00:00,bear,1729.044,1731.89501,1720.49096,1720.49096,3.0,target,9,2.2622430988837516,0.08768822277018049,2.9123117772298195
2022-07-15 13:35:00+00:00,2022-07-18 01:25:00+00:00,bear,1705.178,1714.39168,1677.53696,1714.39168,-1.0,stop,130,1.1199419707796274,0.033211170622268915,-1.0332111706222689
2022-07-18 06:30:00+00:00,2022-07-18 07:20:00+00:00,bear,1712.258,1718.49018,1693.56147,1718.49018,-1.0,stop,10,1.4964715013568093,0.052120377631557815,-1.0521203776315577
2022-07-19 06:15:00+00:00,2022-07-19 07:00:00+00:00,bear,1708.318,1710.1663,1702.77311,1710.1663,-1.0,stop,9,0.8968283123359309,0.15952032441528932,-1.1595203244152894
2022-07-19 11:50:00+00:00,2022-07-19 12:20:00+00:00,bear,1714.391,1715.64647,1710.62459,1710.62459,3.0,target,6,1.3878420583520497,0.19912861318871294,2.800871386811287
2022-07-20 10:30:00+00:00,2022-07-20 13:30:00+00:00,bear,1711.328,1714.07125,1703.09825,1714.07125,-1.0,stop,36,1.7109905323962455,0.1223182453731208,-1.1223182453731209
2022-07-22 07:30:00+00:00,2022-07-22 08:30:00+00:00,bear,1716.003,1719.47925,1705.57424,1719.47925,-1.0,stop,12,1.34200294977352,0.091219028403786,-1.091219028403786
2022-07-22 10:25:00+00:00,2022-07-22 11:30:00+00:00,bear,1722.308,1725.81538,1711.78587,1725.81538,-1.0,stop,13,1.3553583998249366,0.09059979813742615,-1.0905997981374262
2022-07-22 12:20:00+00:00,2022-07-22 13:45:00+00:00,bear,1724.618,1730.34151,1707.44748,1730.34151,-1.0,stop,17,2.589495391038635,0.06630105818840704,-1.0663010581884071
2022-07-26 08:05:00+00:00,2022-07-27 01:05:00+00:00,bear,1724.024,1728.01597,1712.0481,1719.084,1.2375,max_hold,192,0.7404662576602649,0.06262572113517828,1.1748742788648219
2022-07-28 09:45:00+00:00,2022-07-28 12:45:00+00:00,bear,1743.808,1748.65428,1729.26915,1748.65428,-1.0,stop,36,2.185190959212983,0.07413099283587632,-1.0741309928358764
2022-08-01 08:00:00+00:00,2022-08-01 09:35:00+00:00,bear,1763.045,1767.50439,1749.66682,1767.50439,-1.0,stop,19,1.418927302677376,0.07197091197089062,-1.0719709119708907
2022-08-01 12:05:00+00:00,2022-08-01 12:20:00+00:00,bear,1770.19,1775.06804,1755.55587,1775.06804,-1.0,stop,3,1.5695992349749703,0.06733851336781674,-1.0673385133678168
2022-08-01 12:30:00+00:00,2022-08-02 00:25:00+00:00,bear,1768.232,1775.58339,1746.17784,1775.58339,-1.0,stop,131,0.8804481666679349,0.03999548498085332,-1.0399954849808533
2022-08-02 06:35:00+00:00,2022-08-02 07:25:00+00:00,bull,1774.988,1771.09403,1786.66992,1771.09403,-1.0,stop,10,1.1543830505695465,0.07902453088453966,-1.0790245308845396
2022-08-02 08:15:00+00:00,2022-08-02 12:30:00+00:00,bull,1773.004,1768.59886,1786.21941,1786.21941,3.0,target,51,1.9714556816719984,0.05675188529763156,2.9432481147023686
2022-08-05 07:05:00+00:00,2022-08-05 08:05:00+00:00,bull,1791.768,1788.34956,1802.02332,1788.34956,-1.0,stop,12,1.129229539090428,0.08964951175229892,-1.0896495117522988
2022-08-05 11:30:00+00:00,2022-08-05 12:30:00+00:00,bull,1787.118,1783.58332,1797.72204,1783.58332,-1.0,stop,12,2.2912775549356557,0.10313914632916836,-1.1031391463291684
2022-08-10 07:00:00+00:00,2022-08-10 12:30:00+00:00,bull,1790.638,1787.35902,1800.47494,1800.47494,3.0,target,66,2.5123716525979773,0.07624322197757039,2.9237567780224296
2022-08-11 06:20:00+00:00,2022-08-11 23:20:00+00:00,bull,1787.368,1783.24201,1799.74596,1787.264,-0.0252,max_hold,192,0.5226096760514543,0.0605915186415866,-0.0857915186415866
2022-08-12 09:25:00+00:00,2022-08-12 10:10:00+00:00,bull,1788.368,1785.8116,1796.03721,1785.8116,-1.0,stop,9,0.9453995307612792,0.11628460981774018,-1.1162846098177401
2022-08-12 10:25:00+00:00,2022-08-12 11:20:00+00:00,bull,1788.258,1785.63517,1796.12649,1785.63517,-1.0,stop,11,1.2402943574800587,0.1189610908347092,-1.1189610908347092
2022-08-12 12:10:00+00:00,2022-08-12 17:05:00+00:00,bull,1788.574,1784.58703,1800.5349,1800.5349,3.0,target,59,1.3097362127938403,0.06270425912409429,2.9372957408759057
2022-08-15 12:20:00+00:00,2022-08-16 05:20:00+00:00,bull,1782.538,1772.50647,1812.6326,1780.904,-0.1629,max_hold,192,0.5468853787671841,0.02492142275405652,-0.1878214227540565
2022-08-16 10:55:00+00:00,2022-08-16 12:30:00+00:00,bull,1777.578,1773.58443,1789.55871,1773.58443,-1.0,stop,19,1.6058874590471075,0.08270654400758386,-1.0827065440075838
2022-08-16 13:30:00+00:00,2022-08-17 06:30:00+00:00,bull,1777.058,1771.08432,1794.97905,1777.678,0.1038,max_hold,192,0.7957677608448286,0.041850249762290175,0.06194975023770983
2022-08-17 08:35:00+00:00,2022-08-17 09:25:00+00:00,bull,1776.078,1773.41421,1784.06938,1773.41421,-1.0,stop,10,1.0236967673753874,0.11306628464284432,-1.1130662846428443
2022-08-18 08:00:00+00:00,2022-08-18 10:05:00+00:00,bull,1763.428,1761.28812,1769.84765,1769.84765,3.0,target,25,0.972174450454363,0.11682898106434916,2.8831710189356508
2022-08-19 06:25:00+00:00,2022-08-19 10:00:00+00:00,bull,1757.064,1751.52789,1773.67234,1751.52789,-1.0,stop,43,1.1703612479458254,0.055728311467310235,-1.0557283114673102
2022-08-23 09:20:00+00:00,2022-08-23 13:45:00+00:00,bear,1739.214,1743.95871,1724.97987,1743.95871,-1.0,stop,53,2.135616366430281,0.07519549526135451,-1.0751954952613545
2022-08-24 06:00:00+00:00,2022-08-24 08:00:00+00:00,bear,1745.278,1748.08048,1736.87056,1748.08048,-1.0,stop,24,1.0578664169230496,0.10808045761116798,-1.108080457611168
2022-08-24 12:00:00+00:00,2022-08-25 05:00:00+00:00,bull,1746.817,1742.15321,1760.80836,1758.284,2.4587,max_hold,192,0.7016838785832203,0.05360447189946302,2.405095528100537
2022-08-26 12:15:00+00:00,2022-08-26 14:00:00+00:00,bull,1746.768,1743.43027,1756.78119,1743.43027,-1.0,stop,21,2.5838173542895033,0.11360741213773408,-1.1136074121377342
2022-08-30 09:00:00+00:00,2022-08-31 02:00:00+00:00,bear,1733.292,1738.02542,1719.09175,1722.898,2.1959,max_hold,192,0.8174018694421826,0.052815934356131244,2.1430840656438686
2022-08-31 06:10:00+00:00,2022-08-31 08:30:00+00:00,bear,1722.958,1725.89345,1714.15164,1714.15164,3.0,target,28,1.4987138264769717,0.08516581784735035,2.9148341821526498
2022-09-01 10:05:00+00:00,2022-09-01 14:45:00+00:00,bear,1704.054,1708.81773,1689.7628,1689.7628,3.0,target,56,2.4034433330134775,0.05247988446028752,2.9475201155397124
2022-09-05 06:25:00+00:00,2022-09-05 09:50:00+00:00,bear,1710.274,1714.08344,1698.84569,1714.08344,-1.0,stop,41,0.9922133533947957,0.07864953055297426,-1.0786495305529742
2022-09-05 11:30:00+00:00,2022-09-06 00:10:00+00:00,bear,1712.764,1715.79762,1703.66314,1715.79762,-1.0,stop,110,0.608761821116872,0.09244338152300856,-1.0924433815230086
2022-09-06 07:10:00+00:00,2022-09-06 18:05:00+00:00,bear,1715.648,1720.82987,1700.1024,1700.1024,3.0,target,131,1.190978638210728,0.04824513158377079,2.9517548684162294
2022-09-07 10:30:00+00:00,2022-09-07 14:25:00+00:00,bear,1703.71,1706.4382,1695.52541,1706.4382,-1.0,stop,47,1.8207459692986963,0.12500450790445455,-1.1250045079044546
2022-09-08 12:15:00+00:00,2022-09-08 13:15:00+00:00,bear,1721.581,1725.47596,1709.89611,1709.89611,3.0,target,12,2.4876178196798744,0.06418551153285135,2.9358144884671487
2022-09-12 08:10:00+00:00,2022-09-12 09:00:00+00:00,bear,1722.4,1726.61872,1709.74384,1726.61872,-1.0,stop,10,1.3471257543056157,0.07522572906362408,-1.075225729063624
2022-09-12 09:50:00+00:00,2022-09-12 11:00:00+00:00,bear,1725.214,1727.55879,1718.17963,1727.55879,-1.0,stop,14,1.1418074859998504,0.13096711189487292,-1.130967111894873
2022-09-12 12:35:00+00:00,2022-09-12 15:50:00+00:00,bear,1727.194,1734.09261,1706.49818,1734.09261,-1.0,stop,39,1.612648730082125,0.04792739936075645,-1.0479273993607565
2022-09-13 08:20:00+00:00,2022-09-13 08:45:00+00:00,bear,1723.051,1725.40874,1715.97778,1725.40874,-1.0,stop,5,1.0995259566623479,0.12935111498006488,-1.1293511149800648
2022-09-13 10:20:00+00:00,2022-09-13 10:50:00+00:00,bear,1725.324,1728.2035,1716.68551,1728.2035,-1.0,stop,6,1.0600986296445816,0.10522831445814493,-1.105228314458145
2022-09-13 12:30:00+00:00,2022-09-14 05:30:00+00:00,bear,1714.928,1732.08816,1663.44751,1703.044,0.6925,max_hold,192,0.9598908958043639,0.014568628730734525,0.6779313712692655
2022-09-14 09:00:00+00:00,2022-09-14 12:50:00+00:00,bear,1703.399,1706.27819,1694.76144,1706.27819,-1.0,stop,46,1.8063017249484723,0.11819820374737718,-1.1181982037473772
2022-09-14 13:30:00+00:00,2022-09-15 03:00:00+00:00,bear,1703.075,1707.2644,1690.5068,1690.5068,3.0,target,150,0.9047822001647029,0.059674416384208076,2.9403255836157918
2022-09-15 10:30:00+00:00,2022-09-15 12:45:00+00:00,bear,1687.788,1691.42299,1676.88304,1691.42299,-1.0,stop,27,2.2945343461747427,0.10033774984490618,-1.1003377498449063
2022-09-15 13:35:00+00:00,2022-09-16 06:35:00+00:00,bear,1681.104,1692.59734,1646.62398,1659.635,1.868,max_hold,192,0.9609929538787199,0.021751727522199834,1.8462482724778002
2022-09-16 10:05:00+00:00,2022-09-16 10:55:00+00:00,bear,1658.118,1666.44264,1633.14409,1666.44264,-1.0,stop,10,1.456626327232453,0.038780213482099035,-1.0387802134820991
2022-09-16 12:30:00+00:00,2022-09-16 14:00:00+00:00,bear,1661.268,1667.25468,1643.30795,1667.25468,-1.0,stop,18,2.1010309255095536,0.05930691907292172,-1.0593069190729216
2022-09-19 13:25:00+00:00,2022-09-19 13:45:00+00:00,bear,1662.965,1667.79762,1648.46715,1667.79762,-1.0,stop,4,1.783865087272361,0.07018827351697601,-1.070188273516976
2022-09-21 08:00:00+00:00,2022-09-21 11:50:00+00:00,bear,1670.385,1676.29054,1652.66839,1676.29054,-1.0,stop,46,1.1801279745417972,0.05232483375391433,-1.0523248337539144
2022-09-21 12:25:00+00:00,2022-09-21 18:00:00+00:00,bear,1673.548,1677.63506,1661.28682,1661.28682,3.0,target,67,1.6633753969053853,0.061168664027441734,2.938831335972558
2022-09-22 13:40:00+00:00,2022-09-23 06:40:00+00:00,bear,1672.205,1685.24114,1633.09657,1672.458,-0.0194,max_hold,192,0.8667493659309498,0.019177455903357662,-0.03857745590335766
2022-09-23 06:50:00+00:00,2022-09-23 09:45:00+00:00,bear,1669.805,1674.20568,1656.60296,1656.60296,3.0,target,35,1.4685551165703816,0.056809402183299385,2.9431905978167006
2022-09-26 09:35:00+00:00,2022-09-26 17:10:00+00:00,bear,1643.888,1649.89922,1625.85435,1625.85435,3.0,target,91,1.9561005630435808,0.041588895432207784,2.958411104567792
2022-09-27 08:00:00+00:00,2022-09-27 11:35:00+00:00,bear,1636.313,1640.68991,1623.18228,1640.68991,-1.0,stop,43,1.3917300306836757,0.0730164663048103,-1.0730164663048103
2022-09-27 11:55:00+00:00,2022-09-28 04:55:00+00:00,bear,1636.635,1642.56838,1618.83485,1623.395,2.2314,max_hold,192,0.7707944954979775,0.042134500065730225,2.1892654999342698
2022-09-28 11:35:00+00:00,2022-09-28 12:00:00+00:00,bear,1623.455,1625.81915,1616.36254,1625.81915,-1.0,stop,5,2.3772689469148673,0.1560237071868225,-1.1560237071868225
2022-09-29 12:30:00+00:00,2022-09-29 13:05:00+00:00,bear,1648.998,1652.47633,1638.56301,1652.47633,-1.0,stop,7,2.3308044782047825,0.1053782199820742,-1.1053782199820743
2022-10-03 12:15:00+00:00,2022-10-03 12:20:00+00:00,bear,1663.835,1667.54156,1652.71532,1667.54156,-1.0,stop,1,1.7989393134014224,0.09171495016135837,-1.0917149501613583
2022-10-04 08:20:00+00:00,2022-10-04 10:20:00+00:00,bear,1706.594,1710.84348,1693.84555,1710.84348,-1.0,stop,24,1.6050324271232446,0.07771577260186335,-1.0777157726018634
2022-10-04 11:55:00+00:00,2022-10-04 14:40:00+00:00,bull,1705.764,1701.3356,1719.04919,1719.04919,3.0,target,33,2.467145752900139,0.05645379821154644,2.9435462017884535
2022-10-05 06:15:00+00:00,2022-10-05 07:45:00+00:00,bull,1721.138,1717.22488,1732.87737,1717.22488,-1.0,stop,18,1.736306996838161,0.08607335063629883,-1.0860733506362987
2022-10-05 10:50:00+00:00,2022-10-05 14:00:00+00:00,bull,1711.742,1702.79414,1738.58558,1702.79414,-1.0,stop,38,2.711726626550335,0.04309257535628822,-1.0430925753562883
2022-10-07 07:35:00+00:00,2022-10-07 10:20:00+00:00,bull,1712.082,1708.09034,1724.05699,1708.09034,-1.0,stop,33,1.315885132463199,0.07911351583630596,-1.0791135158363059
2022-10-07 11:30:00+00:00,2022-10-07 12:30:00+00:00,bull,1710.397,1705.88215,1723.94155,1705.88215,-1.0,stop,12,2.0484647953539903,0.07805868185381522,-1.0780586818538151
2022-10-11 09:40:00+00:00,2022-10-11 11:20:00+00:00,bear,1662.708,1669.97904,1640.89487,1669.97904,-1.0,stop,20,1.5624585958984032,0.045127372397198565,-1.0451273723971986
2022-10-11 13:30:00+00:00,2022-10-11 13:40:00+00:00,bear,1668.048,1670.81319,1659.75244,1670.81319,-1.0,stop,2,1.8003065524002704,0.12296273587710221,-1.1229627358771022
2022-10-14 07:15:00+00:00,2022-10-14 14:00:00+00:00,bear,1665.888,1671.87372,1647.93084,1647.93084,3.0,target,81,2.684906275088712,0.041766069913058854,2.958233930086941
