strategy,config,period,n,win_rate,gross_r,net_r,pf_net,max_dd_net,avg_cost_r
po3,v1-parity+costs,train,974,30.1,8.88,-78.66,0.89,95.26,0.09
po3,v1-parity+costs,test,459,31.2,27.39,3.5,1.01,33.42,0.052
po3,regime,train,588,31.3,23.88,-23.75,0.94,72.31,0.081
po3,regime,test,293,32.8,36.17,20.77,1.1,24.19,0.053
po3,regime+fvg,train,505,32.3,20.18,-17.36,0.95,69.04,0.074
po3,regime+fvg,test,257,33.5,37.74,24.58,1.14,24.37,0.051
po3,regime+pd,train,283,30.7,26.43,3.54,1.02,22.62,0.081
po3,regime+pd,test,150,26.7,-11.61,-21.55,0.82,38.0,0.066
po3,regime+fvg+pd,train,235,30.6,6.72,-10.1,0.94,38.18,0.072
po3,regime+fvg+pd,test,130,26.2,-10.74,-19.45,0.81,35.08,0.067
po3,regime+structTP,train,336,36.3,6.37,-25.84,0.89,54.37,0.096
po3,regime+structTP,test,181,35.9,-4.36,-16.19,0.87,26.49,0.065
crt,minrr0,train,939,24.5,-45.24,-228.79,0.74,239.65,0.195
crt,minrr0,test,502,24.5,-18.52,-115.71,0.75,146.93,0.194
crt,minrr2,train,774,17.6,-36.14,-217.39,0.73,227.95,0.234
crt,minrr2,test,432,19.0,-4.77,-104.24,0.76,134.84,0.23
po3-m15,m15-noregime,train,349,33.8,-0.11,-17.85,0.92,46.14,0.051
po3-m15,m15-noregime,test,164,39.0,-11.68,-16.19,0.83,19.2,0.027
po3-m15,m15-regime,train,155,29.0,-15.13,-23.21,0.77,25.67,0.052
po3-m15,m15-regime,test,62,43.5,-5.12,-6.76,0.79,10.81,0.026
po3-m15,m15-regime+fvg,train,124,31.5,-8.9,-14.58,0.81,25.49,0.046
po3-m15,m15-regime+fvg,test,52,48.1,-0.93,-2.14,0.92,7.61,0.023
po3-m15,m15-regimeD1,train,172,36.6,24.73,16.19,1.17,25.56,0.05
po3-m15,m15-regimeD1,test,67,47.8,5.36,3.71,1.12,4.43,0.025
po3-m15,m15-regimeD1+fvg,train,142,40.8,28.17,21.62,1.29,21.58,0.046
po3-m15,m15-regimeD1+fvg,test,57,50.9,5.91,4.71,1.19,5.49,0.021
po3-gbp,H4-M15-regD1,train,85,44.7,14.55,11.06,1.31,9.13,0.041
po3-gbp,H4-M15-regD1,test,74,31.1,-7.33,-11.29,0.73,18.25,0.054
po3-gbp,H4-M15-regD1+fvg,train,78,43.6,7.46,3.57,1.11,8.94,0.05
po3-gbp,H4-M15-regD1+fvg,test,67,32.8,-9.52,-13.09,0.65,18.34,0.053
po3-gbp,H4-M5-regD1,train,106,45.3,13.27,7.56,1.15,10.07,0.054
po3-gbp,H4-M5-regD1,test,90,33.3,-5.07,-9.71,0.82,15.97,0.052
po3-gbp,H4-M5-regD1+fvg,train,100,44.0,15.81,10.68,1.23,9.66,0.051
po3-gbp,H4-M5-regD1+fvg,test,82,35.4,-2.83,-7.03,0.85,14.6,0.051
po3-gbp,H1-M15-regD1,train,146,37.0,-3.27,-9.55,0.88,21.69,0.043
po3-gbp,H1-M15-regD1,test,107,39.3,-1.76,-6.2,0.9,19.24,0.042
po3-gbp,H1-M15-regD1+fvg,train,119,37.8,-2.03,-6.69,0.9,18.08,0.039
po3-gbp,H1-M15-regD1+fvg,test,90,37.8,-9.72,-13.36,0.74,24.25,0.04
po3-gbp,H1-M5-regD1,train,209,36.8,20.73,6.46,1.05,13.91,0.068
po3-gbp,H1-M5-regD1,test,162,31.5,-8.88,-19.97,0.82,32.94,0.068
po3-gbp,H1-M5-regD1+fvg,train,189,37.0,23.96,11.89,1.1,12.86,0.064
po3-gbp,H1-M5-regD1+fvg,test,151,31.8,-12.48,-22.48,0.78,34.1,0.066
ict,base,train,72,27.8,-0.7,-4.71,0.91,10.22,0.056
ict,base,test,15,40.0,3.46,2.99,1.32,2.1,0.031
ict,regime,train,26,38.5,8.59,7.45,1.47,6.15,0.044
ict,regime,test,9,44.4,4.13,3.85,1.74,2.1,0.03
