trigger_time,session,direction,entry_time,entry_type,entry_price,stop,target,htf_mid,r_distance,exit_time,exit_reason,n_partials,realized_r,pnl_usd,lot_size,balance_after,month
2022-05-20 12:00:00+00:00,ny_am_kz,bull,2022-05-20 13:00:00+00:00,OB,1.2473,1.2460661907276098,1.24858,1.24763,0.0012338092723902516,2022-05-20 13:15:00+00:00,all_targets,3,0.954,954.0,8.105,100954.0,2022-05
2022-05-25 05:00:00+00:00,asian,bull,2022-05-25 06:00:00+00:00,OB,1.2535,1.252923456652644,1.25421,1.2536049999999999,0.0005765433473561288,2022-05-25 06:05:00+00:00,stop,0,-1.139,-1149.87,17.5102,99804.13,2022-05
2022-05-31 05:00:00+00:00,asian,bear,2022-05-31 06:10:00+00:00,OB,1.26183,1.2621977416724073,1.2603,1.261015,0.0003677416724072735,2022-05-31 06:25:00+00:00,all_targets,3,1.715,1711.64,27.1397,101515.77,2022-05
2022-06-19 22:00:00+00:00,off_hours,bull,2022-06-19 23:05:00+00:00,OB,1.22159,1.2206382297661558,1.22327,1.222095,0.0009517702338441847,2022-06-20 00:10:00+00:00,stop,1,0.416,422.31,10.666,101938.08,2022-06
2022-06-22 18:00:00+00:00,ny_pm,bear,2022-06-22 19:00:00+00:00,OB,1.22672,1.2287959454580704,1.22568,1.2266050000000002,0.0020759454580703274,2022-06-22 21:00:00+00:00,all_targets,3,0.462,470.95,4.9104,102409.03,2022-06
2022-06-24 13:00:00+00:00,ny_am_kz,bear,2022-06-24 14:00:00+00:00,OB,1.22923,1.2297715038147297,1.22615,1.22774,0.0005415038147296158,2022-06-24 14:05:00+00:00,stop,0,-1.148,-1175.66,18.912,101233.37,2022-06
2022-07-07 23:00:00+00:00,off_hours,bull,2022-07-08 00:05:00+00:00,OB,1.20261,1.2018402447171934,1.20333,1.202715,0.000769755282806539,2022-07-08 00:45:00+00:00,all_targets,3,0.831,841.25,13.1514,102074.62,2022-07
2022-07-11 08:00:00+00:00,london_kz,bear,2022-07-11 09:00:00+00:00,OB,1.19702,1.198286004149567,1.19532,1.196615,0.0012660041495671237,2022-07-11 09:30:00+00:00,all_targets,3,1.108,1130.99,8.0627,103205.61,2022-07
2022-07-18 12:00:00+00:00,ny_am_kz,bull,2022-07-18 13:00:00+00:00,OB,1.19738,1.1951182639402356,1.19858,1.1974049999999998,0.002261736059764541,2022-07-18 13:20:00+00:00,all_targets,3,0.495,510.87,4.5631,103716.48,2022-07
2022-08-01 10:00:00+00:00,london,bear,2022-08-01 11:05:00+00:00,OB,1.22447,1.2261894024192777,1.22267,1.224295,0.0017194024192777047,2022-08-01 11:15:00+00:00,all_targets,3,0.977,1013.31,6.0321,104729.79,2022-08
2022-08-03 08:00:00+00:00,london_kz,bear,2022-08-03 09:10:00+00:00,OB,1.21878,1.2208334140883594,1.21655,1.2184249999999999,0.002053414088359462,2022-08-03 10:10:00+00:00,stop,1,0.461,482.8,5.1003,105212.59,2022-08
2022-08-10 15:00:00+00:00,london_close,bear,2022-08-10 16:10:00+00:00,OB,1.22501,1.2278057651362388,1.22205,1.224475,0.0027957651362389146,2022-08-10 19:00:00+00:00,all_targets,3,1.001,1053.18,3.7633,106265.77,2022-08
2022-08-15 04:00:00+00:00,asian,bear,2022-08-15 05:10:00+00:00,OB,1.21206,1.2125678139967855,1.21106,1.2116500000000001,0.0005078139967855666,2022-08-15 05:35:00+00:00,all_targets,3,1.327,1410.15,20.9261,107675.92,2022-08
2022-08-17 02:00:00+00:00,asian,bear,2022-08-17 03:05:00+00:00,OB,1.21099,1.2116045264815143,1.21012,1.210785,0.000614526481514277,2022-08-17 03:25:00+00:00,all_targets,3,1.078,1160.75,17.5218,108836.67,2022-08
2022-08-31 18:00:00+00:00,ny_pm,bear,2022-08-31 19:00:00+00:00,OB,1.16215,1.1630698014060619,1.16069,1.1618,0.0009198014060618487,2022-08-31 19:45:00+00:00,all_targets,3,1.207,1313.66,11.8326,110150.33,2022-08
2022-09-02 06:00:00+00:00,london_kz,bull,2022-09-02 07:00:00+00:00,OB,1.15487,1.1531662569584418,1.15553,1.15496,0.0017037430415582921,2022-09-02 07:05:00+00:00,all_targets,3,0.34,374.51,6.4652,110524.84,2022-09
2022-09-08 09:00:00+00:00,london,bull,2022-09-08 10:00:00+00:00,OB,1.14886,1.147481661916923,1.15013,1.14894,0.0013783380830769687,2022-09-08 10:20:00+00:00,all_targets,3,0.863,953.83,8.0187,111478.67,2022-09
2022-09-20 02:00:00+00:00,asian,bull,2022-09-20 03:15:00+00:00,OB,1.14259,1.1408301683262188,1.14361,1.14262,0.0017598316737812425,2022-09-20 03:50:00+00:00,all_targets,3,0.534,595.3,6.3346,112073.97,2022-09
2022-09-21 03:00:00+00:00,asian,bull,2022-09-21 04:00:00+00:00,OB,1.13742,1.1367596019845876,1.13824,1.13757,0.0006603980154125111,2022-09-21 04:30:00+00:00,stop,0,-1.121,-1256.35,16.9707,110817.62,2022-09
2022-09-27 10:00:00+00:00,london,bear,2022-09-27 11:15:00+00:00,OB,1.08097,1.0826591954329672,1.07796,1.079945,0.0016891954329671943,2022-09-27 12:15:00+00:00,stop,1,0.453,502.0,6.5604,111319.62,2022-09
2022-10-05 19:00:00+00:00,ny_pm,bear,2022-10-05 20:00:00+00:00,OB,1.13265,1.135752047197116,1.13059,1.132585,0.0031020471971161534,2022-10-05 21:00:00+00:00,all_targets,3,0.638,710.22,3.5886,112029.84,2022-10
2022-10-07 10:00:00+00:00,london,bear,2022-10-07 12:15:00+00:00,OB,1.12103,1.1226051586163543,1.11828,1.12012,0.0015751586163543774,2022-10-07 12:30:00+00:00,all_targets,3,1.322,1481.03,7.1123,113510.87,2022-10
2022-10-10 06:00:00+00:00,london_kz,bear,2022-10-10 07:00:00+00:00,OB,1.10797,1.1092989894211138,1.10551,1.107055,0.0013289894211139242,2022-10-10 07:10:00+00:00,stop,0,-1.06,-1203.22,8.5411,112307.65,2022-10
2022-10-10 11:00:00+00:00,ny_am_kz,bull,2022-10-10 12:05:00+00:00,OB,1.10566,1.1040722389288187,1.1082,1.10639,0.001587761071181415,2022-10-10 13:10:00+00:00,stop,1,0.45,505.38,7.0733,112813.03,2022-10
2022-10-17 06:00:00+00:00,london_kz,bear,2022-10-17 07:00:00+00:00,OB,1.12622,1.1306002061891067,1.12231,1.12594,0.004380206189106728,2022-10-17 10:05:00+00:00,stop,0,-1.018,-1148.44,2.5755,111664.59,2022-10
2022-10-19 12:00:00+00:00,ny_am_kz,bull,2022-10-19 13:05:00+00:00,OB,1.12342,1.1219866738810782,1.12571,1.1239249999999998,0.0014333261189218849,2022-10-19 13:20:00+00:00,all_targets,3,1.243,1387.99,7.7906,113052.58,2022-10
2022-10-20 09:00:00+00:00,london,bull,2022-10-20 10:00:00+00:00,OB,1.1201,1.1169671727424235,1.12258,1.12026,0.003132827257576576,2022-10-20 10:50:00+00:00,all_targets,3,0.766,865.98,3.6086,113918.56,2022-10
2022-10-27 00:00:00+00:00,asian_kz,bear,2022-10-27 01:00:00+00:00,OB,1.163,1.1645514492945481,1.16145,1.162725,0.0015514492945480907,2022-10-27 02:15:00+00:00,all_targets,3,0.948,1079.95,7.3427,114998.51,2022-10
2022-11-02 18:00:00+00:00,ny_pm,bear,2022-11-02 19:05:00+00:00,OB,1.1484,1.1565723979352591,1.14525,1.1467900000000002,0.008172397935259035,2022-11-02 19:15:00+00:00,all_targets,3,0.376,432.39,1.4072,115430.9,2022-11
2022-11-03 15:00:00+00:00,london_close,bear,2022-11-03 16:10:00+00:00,OB,1.11967,1.123096993493654,1.11656,1.11958,0.0034269934936541624,2022-11-03 16:35:00+00:00,all_targets,3,0.884,1020.41,3.3683,116451.31,2022-11
2022-11-07 15:00:00+00:00,london_close,bull,2022-11-07 16:00:00+00:00,OB,1.14579,1.143947616490853,1.14844,1.146475,0.0018423835091470053,2022-11-07 17:05:00+00:00,all_targets,3,1.176,1369.47,6.3207,117820.78,2022-11
2022-11-18 08:00:00+00:00,london_kz,bull,2022-11-18 09:00:00+00:00,OB,1.19001,1.188079802702487,1.19234,1.190465,0.001930197297512981,2022-11-18 09:20:00+00:00,all_targets,3,1.062,1251.26,6.1041,119072.04,2022-11
2022-11-18 12:00:00+00:00,ny_am_kz,bear,2022-11-18 13:05:00+00:00,OB,1.19065,1.1941551758027316,1.18901,1.19051,0.003505175802731575,2022-11-18 14:20:00+00:00,all_targets,3,0.445,529.87,3.397,119601.91,2022-11
2022-11-22 07:00:00+00:00,london_kz,bull,2022-11-22 08:00:00+00:00,OB,1.18398,1.1823587524761028,1.18519,1.1841849999999998,0.0016212475238972512,2022-11-22 08:25:00+00:00,all_targets,3,0.697,833.63,7.3772,120435.54,2022-11
2022-11-25 06:00:00+00:00,asian,bull,2022-11-25 07:05:00+00:00,OB,1.2102,1.2091742511373165,1.21234,1.21092,0.0010257488626834732,2022-11-25 07:30:00+00:00,all_targets,3,1.439,1733.07,11.7412,122168.61,2022-11
2022-11-25 08:00:00+00:00,london_kz,bull,2022-11-25 09:20:00+00:00,OB,1.2098,1.208388987451085,1.2124,1.2107299999999999,0.0014110125489150693,2022-11-25 09:40:00+00:00,stop,1,0.443,541.21,8.6582,122709.82,2022-11
2022-11-30 10:00:00+00:00,london,bear,2022-11-30 11:40:00+00:00,OB,1.2001,1.2029814522711453,1.19852,1.200045,0.002881452271145335,2022-11-30 14:00:00+00:00,all_targets,3,0.521,639.32,4.2586,123349.14,2022-11
2022-11-30 16:00:00+00:00,london_close,bull,2022-11-30 17:35:00+00:00,OB,1.19267,1.1898463928221419,1.2009,1.1958250000000001,0.002823607177858012,2022-11-30 18:40:00+00:00,all_targets,3,1.655,2041.43,4.3685,125390.57,2022-11
2022-12-01 19:00:00+00:00,ny_pm,bull,2022-12-01 20:00:00+00:00,OB,1.2251,1.2232555842649033,1.22756,1.225655,0.0018444157350967494,2022-12-01 23:15:00+00:00,all_targets,3,1.124,1409.39,6.7984,126799.96,2022-12
2022-12-08 16:00:00+00:00,london_close,bull,2022-12-08 17:00:00+00:00,OB,1.22247,1.2204525084077646,1.22467,1.222955,0.0020174915922352987,2022-12-08 22:20:00+00:00,stop,1,0.46,583.28,6.285,127383.24,2022-12
2022-12-09 21:00:00+00:00,off_hours,bull,2022-12-11 22:00:00+00:00,OB,1.22523,1.2251289404392025,1.22752,1.22654,0.00010105956079753398,2022-12-11 22:10:00+00:00,stop,1,-0.292,-371.96,126.0477,127011.28,2022-12
2022-12-13 04:00:00+00:00,asian,bull,2022-12-13 05:00:00+00:00,OB,1.22654,1.2251066581789944,1.22764,1.226585,0.0014333418210055182,2022-12-13 05:45:00+00:00,all_targets,3,0.712,904.32,8.8612,127915.6,2022-12
