trigger_time,session,direction,entry_time,entry_type,entry_price,stop,target,htf_mid,r_distance,exit_time,exit_reason,n_partials,realized_r,pnl_usd,lot_size,balance_after,month
2022-05-19 17:00:00+00:00,ny_pm,bull,2022-05-19 18:00:00+00:00,OB,11938.889,11843.667186262928,12055.689,11970.804,95.22181373707099,2022-05-19 19:15:00+00:00,stop,1,0.484,484.0,10.5018,100484.0,2022-05
2022-05-24 17:00:00+00:00,ny_pm,bull,2022-05-24 18:40:00+00:00,OB,11699.619,11637.010486572988,11803.589,11733.153999999999,62.60851342701244,2022-05-24 19:35:00+00:00,all_targets,3,1.306,1312.32,16.0496,101796.32,2022-05
2022-05-27 06:00:00+00:00,london_kz,bull,2022-05-27 07:10:00+00:00,OB,12248.019,12227.556483507935,12277.489,12257.844000000001,20.462516492065333,2022-05-27 08:15:00+00:00,all_targets,3,1.147,1167.6,49.7477,102963.92,2022-05
2022-05-31 14:00:00+00:00,london_close,bull,2022-05-31 15:05:00+00:00,OB,12587.029,12474.27742963546,12684.779,12601.349,112.75157036454038,2022-05-31 15:50:00+00:00,all_targets,3,0.854,879.31,9.1319,103843.23,2022-05
2022-06-03 17:00:00+00:00,ny_pm,bear,2022-06-03 18:15:00+00:00,OB,12575.199,12647.365617468915,12523.869,12567.384,72.16661746891441,2022-06-03 19:10:00+00:00,all_targets,3,0.69,716.52,14.3894,104559.75,2022-06
2022-06-08 15:00:00+00:00,london_close,bear,2022-06-08 16:00:00+00:00,OB,12728.119,12773.46042298937,12683.249,12726.518,45.341422989369676,2022-06-08 16:25:00+00:00,all_targets,3,0.957,1000.64,23.0605,105560.39,2022-06
2022-06-10 11:00:00+00:00,ny_am_kz,bear,2022-06-10 12:00:00+00:00,OB,12310.369,12320.651438756899,12269.219,12290.859,10.282438756898046,2022-06-10 12:10:00+00:00,stop,1,0.354,373.68,102.6608,105934.07,2022-06
2022-06-14 17:00:00+00:00,ny_pm,bear,2022-06-14 18:05:00+00:00,OB,11325.879,11426.239446660307,11276.109,11312.929,100.36044666030648,2022-06-14 18:50:00+00:00,all_targets,3,0.481,509.54,10.5554,106443.61,2022-06
2022-06-15 07:00:00+00:00,london_kz,bull,2022-06-15 08:00:00+00:00,OB,11375.679,11335.734825811362,11400.189,11378.884,39.9441741886385,2022-06-15 08:05:00+00:00,all_targets,3,0.576,613.12,26.6481,107056.73,2022-06
2022-06-15 14:00:00+00:00,london_close,bear,2022-06-15 16:20:00+00:00,OB,11535.879,11544.842338363851,11428.307,11472.278,8.963338363850198,2022-06-15 16:30:00+00:00,stop,1,0.333,356.5,119.4385,107413.23,2022-06
2022-06-15 16:00:00+00:00,ny_pm,bear,2022-06-15 17:55:00+00:00,OB,11535.879,11539.301813783426,11448.169,11474.479,3.4228137834252266,2022-06-15 18:00:00+00:00,stop,0,-1.438,-1544.6,313.8156,105868.63,2022-06
2022-06-20 22:00:00+00:00,off_hours,bull,2022-06-20 23:25:00+00:00,OB,11365.889,11364.532173711108,11394.539,11381.099,1.3568262888911704,2022-06-20 23:30:00+00:00,stop,0,-2.106,-2229.59,780.2666,103639.04,2022-06
2022-06-22 12:00:00+00:00,ny_am_kz,bull,2022-06-22 13:00:00+00:00,OB,11360.599,11325.618276345385,11389.989,11367.298999999999,34.98072365461485,2022-06-22 13:10:00+00:00,all_targets,3,0.797,826.0,29.6275,104465.04,2022-06
2022-06-22 16:00:00+00:00,ny_pm,bull,2022-06-22 17:00:00+00:00,OB,11594.909,11527.305249593493,11678.707,11612.643,67.60375040650615,2022-06-22 18:15:00+00:00,all_targets,3,1.098,1147.03,15.4526,105612.07,2022-06
2022-06-28 09:00:00+00:00,london,bear,2022-06-28 10:30:00+00:00,OB,12065.349,12092.862882276217,12039.839,12060.418,27.513882276216464,2022-06-28 12:20:00+00:00,all_targets,3,0.873,921.99,38.385,106534.06,2022-06
2022-07-06 09:00:00+00:00,london,bull,2022-07-06 10:10:00+00:00,OB,11768.019,11721.362579096765,11807.809,11768.914,46.6564209032349,2022-07-06 11:45:00+00:00,stop,0,-1.032,-1099.43,22.8337,105434.63,2022-07
2022-07-08 10:00:00+00:00,london,bear,2022-07-08 11:50:00+00:00,OB,12067.559,12094.155316518081,12021.239,12039.518,26.59631651808195,2022-07-08 12:30:00+00:00,all_targets,3,1.314,1385.41,39.6426,106820.04,2022-07
2022-07-11 09:00:00+00:00,london,bear,2022-07-11 10:05:00+00:00,OB,12033.669,12048.903982636637,12009.149,12027.778999999999,15.234982636637142,2022-07-11 10:15:00+00:00,stop,0,-1.098,-1172.88,70.115,105647.16,2022-07
2022-07-28 09:00:00+00:00,london,bull,2022-07-28 10:10:00+00:00,OB,12494.289,12454.632423452558,12518.759,12494.734,39.656576547442455,2022-07-28 11:00:00+00:00,all_targets,3,0.579,611.7,26.6405,106258.86,2022-07
2022-08-15 09:00:00+00:00,london,bull,2022-08-15 10:00:00+00:00,OB,13495.179,13472.15325225026,13509.389,13497.169,23.02574774973982,2022-08-15 10:40:00+00:00,all_targets,3,0.552,586.55,46.1478,106845.41,2022-08
2022-08-29 09:00:00+00:00,london,bull,2022-08-29 10:10:00+00:00,OB,12456.629,12433.278438793845,12496.477,12467.893,23.35056120615627,2022-08-29 11:00:00+00:00,stop,1,0.436,465.85,45.7571,107311.26,2022-08
2022-08-30 10:00:00+00:00,london,bear,2022-08-30 11:00:00+00:00,OB,12621.009,12640.045373107585,12601.119,12618.554,19.03637310758495,2022-08-30 11:50:00+00:00,all_targets,3,0.944,1013.02,56.3717,108324.28,2022-08
2022-09-01 09:00:00+00:00,london,bull,2022-09-01 10:15:00+00:00,OB,12134.819,12102.527227772172,12158.109,12134.969000000001,32.291772227827096,2022-09-01 10:55:00+00:00,all_targets,3,0.675,731.19,33.5455,109055.47,2022-09
2022-09-13 02:00:00+00:00,asian,bull,2022-09-13 04:05:00+00:00,OB,12746.679,12732.20348927135,12762.789,12750.704000000002,14.475510728650988,2022-09-13 05:50:00+00:00,all_targets,3,0.953,1039.3,75.3379,110094.77,2022-09
2022-09-16 14:00:00+00:00,london_close,bear,2022-09-16 15:00:00+00:00,OB,11755.359,11844.74215343004,11707.569,11751.729,89.38315343003887,2022-09-16 16:25:00+00:00,all_targets,3,0.518,570.29,12.3172,110665.06,2022-09
2022-09-16 16:00:00+00:00,ny_pm,bull,2022-09-16 17:05:00+00:00,OB,11745.389,11702.727028987636,11794.287,11758.168000000001,42.66197101236321,2022-09-16 18:25:00+00:00,all_targets,3,1.038,1148.7,25.94,111813.76,2022-09
2022-09-19 10:00:00+00:00,london,bull,2022-09-19 11:25:00+00:00,OB,11741.999,11717.43139305549,11758.097,11742.978,24.567606944508952,2022-09-19 12:05:00+00:00,all_targets,3,0.594,664.17,45.5127,112477.93,2022-09
2022-09-22 10:00:00+00:00,london,bull,2022-09-22 11:05:00+00:00,OB,11619.299,11606.95259669514,11685.359,11648.244,12.34640330486036,2022-09-22 11:10:00+00:00,stop,0,-1.121,-1260.88,91.1018,111217.05,2022-09
2022-09-22 17:00:00+00:00,ny_pm,bull,2022-09-22 18:20:00+00:00,OB,11479.919,11470.832010069209,11546.549,11512.334,9.086989930790878,2022-09-22 18:25:00+00:00,stop,0,-1.165,-1295.68,122.3915,109921.37,2022-09
2022-09-26 11:00:00+00:00,ny_am_kz,bull,2022-09-26 12:05:00+00:00,OB,11231.129,11220.737862772075,11276.139,11251.384,10.391137227925356,2022-09-26 12:25:00+00:00,all_targets,3,1.822,2002.77,105.7838,111924.14,2022-09
2022-09-27 12:00:00+00:00,ny_am_kz,bear,2022-09-27 13:30:00+00:00,OB,11440.879,11462.206222136681,11393.919,11421.858,21.327222136680575,2022-09-27 13:35:00+00:00,stop,0,-1.07,-1197.59,52.4795,110726.55,2022-09
2022-10-12 02:00:00+00:00,asian,bull,2022-10-12 03:30:00+00:00,OB,10812.717,10783.954883849161,10841.819,10816.173999999999,28.762116150839574,2022-10-12 04:00:00+00:00,all_targets,3,0.954,1056.33,38.4974,111782.88,2022-10
2022-10-19 13:00:00+00:00,ny_am_kz,bear,2022-10-19 14:05:00+00:00,OB,11120.509,11164.125484408836,11053.319,11087.508,43.616484408836186,2022-10-19 14:10:00+00:00,stop,0,-1.034,-1155.83,25.6286,110627.05,2022-10
2022-10-21 09:00:00+00:00,london,bull,2022-10-21 10:10:00+00:00,OB,10940.659,10917.162772663765,10972.919,10950.224,23.49622733623437,2022-10-21 11:20:00+00:00,all_targets,3,1.123,1242.34,47.0829,111869.39,2022-10
2022-10-31 16:00:00+00:00,ny_pm,bear,2022-10-31 17:25:00+00:00,OB,11448.139,11476.003523015484,11364.489,11412.444,27.864523015485247,2022-10-31 18:35:00+00:00,stop,1,0.446,498.94,40.1476,112368.33,2022-10
2022-11-14 13:00:00+00:00,ny_am_kz,bear,2022-11-14 14:00:00+00:00,OB,11752.269,11768.180979823466,11728.399,11746.444,15.911979823466027,2022-11-14 14:20:00+00:00,all_targets,3,1.156,1298.98,70.6187,113667.31,2022-11
2022-11-22 01:00:00+00:00,asian_kz,bear,2022-11-22 02:10:00+00:00,OB,11578.219,11593.261640725503,11560.219,11575.109,15.042640725503588,2022-11-22 03:20:00+00:00,stop,1,0.4,454.67,75.5634,114121.98,2022-11
2022-11-24 13:00:00+00:00,ny_am_kz,bull,2022-11-24 14:05:00+00:00,OB,11887.549,11873.54560058986,11905.387,11892.262999999999,14.003399410141355,2022-11-24 14:50:00+00:00,stop,0,-1.107,-1263.33,81.4959,112858.65,2022-11
2022-12-08 16:00:00+00:00,london_close,bull,2022-12-08 17:00:00+00:00,OB,11616.099,11569.102895239555,11660.139,11620.874,46.99610476044472,2022-12-08 18:35:00+00:00,all_targets,3,0.905,1021.37,24.0145,113880.02,2022-12
2022-12-23 11:00:00+00:00,london,bear,2022-12-23 13:00:00+00:00,OB,11006.239,11018.655278129681,10944.839,10976.618999999999,12.416278129681814,2022-12-23 13:20:00+00:00,stop,1,0.379,431.61,91.7183,114311.63,2022-12
2022-12-27 20:00:00+00:00,ny_pm,bear,2022-12-27 21:00:00+00:00,OB,10827.299,10868.172012287765,10807.849,10826.823,40.87301228776414,2022-12-28 00:30:00+00:00,all_targets,3,0.439,501.83,27.9675,114813.46,2022-12
2023-01-19 08:00:00+00:00,london_kz,bear,2023-01-19 09:10:00+00:00,OB,11393.179,11419.605085203162,11360.339,11372.819,26.426085203162074,2023-01-19 09:40:00+00:00,all_targets,3,1.065,1222.76,43.447,116036.22,2023-01
2023-01-20 13:00:00+00:00,ny_am_kz,bear,2023-01-20 14:20:00+00:00,OB,11373.909,11385.225353299229,11338.529,11359.909,11.316353299229377,2023-01-20 14:30:00+00:00,all_targets,3,1.593,1848.46,102.5385,117884.68,2023-01
2023-01-31 17:00:00+00:00,ny_pm,bull,2023-01-31 18:20:00+00:00,OB,12016.539,11986.37745897394,12041.799,12024.069,30.16154102606015,2023-01-31 18:45:00+00:00,all_targets,3,0.788,928.93,39.0844,118813.61,2023-01
2023-02-01 16:00:00+00:00,london_close,bull,2023-02-01 17:00:00+00:00,OB,12063.549,12021.970196937978,12102.407,12065.723,41.578803062022416,2023-02-01 18:55:00+00:00,all_targets,3,0.898,1066.95,28.5755,119880.56,2023-02
2023-02-06 06:00:00+00:00,asian,bear,2023-02-06 08:05:00+00:00,OB,12522.589,12529.51755358639,12490.919,12507.004,6.928553586389171,2023-02-06 08:15:00+00:00,stop,1,0.284,340.46,173.0239,120221.02,2023-02
2023-02-08 10:00:00+00:00,london,bull,2023-02-08 11:05:00+00:00,OB,12703.109,12675.359740773638,12722.587,12703.683,27.749259226362483,2023-02-08 12:00:00+00:00,all_targets,3,0.648,779.03,43.324,121000.05,2023-02
2023-02-14 15:00:00+00:00,london_close,bear,2023-02-14 16:05:00+00:00,OB,12498.139,12634.954291627779,12348.339,12453.414,136.81529162777952,2023-02-15 18:40:00+00:00,stop,0,-1.011,-1223.31,8.844,119776.74,2023-02
2023-02-28 15:00:00+00:00,london_close,bear,2023-02-28 16:05:00+00:00,OB,12080.539,12101.142302480263,12015.869,12051.144,20.603302480261846,2023-02-28 17:05:00+00:00,stop,1,0.427,511.45,58.1347,120288.19,2023-02
2023-03-06 10:00:00+00:00,london,bull,2023-03-06 11:30:00+00:00,OB,12295.369,12282.276518018392,12323.187,12303.343,13.092481981608216,2023-03-06 11:45:00+00:00,stop,0,-1.115,-1341.21,91.8758,118946.98,2023-03
2023-03-07 09:00:00+00:00,london_kz,bear,2023-03-07 10:00:00+00:00,OB,12335.419,12362.35310777841,12313.239,12329.519,26.93410777841018,2023-03-07 14:00:00+00:00,all_targets,3,0.768,913.51,44.1622,119860.49,2023-03
