rank,setup,tf,entry,style,sessions,strong,pd,n,win_rate,avg_r,total_r,pf,max_dd
1,H1-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M5,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,20901,70.3,0.189,3942.96,1.54,92.76
2,H1-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M5,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,15151,70.1,0.219,3312.73,1.51,99.01
3,H1-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,12738,69.3,0.176,2243.94,1.5,51.4
4,H1-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,9106,69.4,0.207,1886.45,1.47,53.52
5,H1-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M15,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,14247,68.2,0.123,1753.41,1.3,286.41
6,H1-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M15,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,9409,72.1,0.164,1538.91,1.3,286.22
7,H4-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,5056,72.6,0.285,1440.48,1.96,32.32
8,H4-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,3610,76.8,0.384,1387.99,2.55,59.13
9,H4-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,4072,71.1,0.318,1295.48,1.95,33.64
10,H4-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,2745,77.0,0.459,1261.18,2.59,58.87
11,H1-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M5,OB_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,4558,72.6,0.219,1000.13,2.3,22.36
12,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,3004,75.0,0.33,992.1,2.31,7.07
13,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,3009,70.1,0.31,934.14,1.94,13.24
14,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,2299,73.4,0.381,876.36,2.29,8.87
15,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,3873,69.6,0.224,866.53,1.77,12.21
16,H4-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,2148,78.3,0.385,826.89,2.63,57.8
17,H4-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,5322,66.8,0.15,799.97,1.44,26.75
18,H4-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,4354,64.9,0.181,788.81,1.47,22.75
19,H1-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,17328,62.3,0.044,754.79,1.09,257.71
